Subject_ID,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
Block_1,0.7402163265306122,0.7809061224489796,0.7700204081632654,0.765795918367347,0.6342857142857143,0.6524244897959184,0.7023183673469388,0.7745632653061225,0.7454285714285714,0.7760571428571429
Block_2,0.7581795918367347,0.7892857142857144,0.7723020408163266,0.7696571428571428,0.6442857142857144,0.6548775510204082,0.7097877551020407,0.7790163265306123,0.7421510204081634,0.7853959183673469
Block_3,0.7975142857142856,0.8003469387755102,0.7917510204081633,0.7914122448979592,0.6614285714285715,0.6765265306122449,0.7005428571428571,0.7921795918367346,0.7642897959183673,0.8004734693877551
Block_4,0.7831999999999999,0.8164653061224489,0.8023061224489796,0.8007020408163266,0.6357142857142859,0.7105142857142858,0.730008163265306,0.8093265306122449,0.7582489795918367,0.8058693877551021
Block_5,0.7739755102040816,0.8023632653061223,0.7862775510204081,0.7886938775510204,0.6314285714285715,0.6968244897959184,0.7430448979591837,0.7979428571428571,0.7544816326530613,0.7960489795918367
Block_6,0.7757632653061225,0.8110326530612246,0.8051673469387755,0.8058775510204083,0.6428571428571428,0.6846122448979592,0.7319510204081633,0.8080448979591837,0.7696163265306122,0.8014938775510204
Block_7,0.7990367346938775,0.8325714285714285,0.8290612244897959,0.8276326530612244,0.6528571428571428,0.6854408163265306,0.7461795918367347,0.8285836734693877,0.7871673469387755,0.8258530612244898
Block_8,0.7584326530612244,0.7886081632653061,0.7734612244897959,0.7726857142857142,0.6185714285714287,0.6682979591836735,0.7106408163265306,0.7873061224489795,0.7422816326530612,0.7878775510204081
Block_9,0.7355510204081632,0.7589714285714286,0.7425020408163266,0.7437551020408162,0.6085714285714287,0.6536408163265306,0.6942775510204082,0.7598081632653061,0.7178775510204082,0.7604897959183674
Block_10,0.7911020408163265,0.8255102040816327,0.8129877551020409,0.8124408163265305,0.6442857142857144,0.677934693877551,0.7081061224489795,0.8166204081632653,0.7694489795918367,0.819542857142857
Block_11,0.775469387755102,0.7952938775510203,0.7755020408163266,0.7723265306122449,0.6499999999999999,0.6507836734693878,0.6856,0.7806163265306122,0.7481142857142858,0.7780816326530612
Block_12,0.7830816326530612,0.7987142857142857,0.7857061224489796,0.784865306122449,0.6257142857142857,0.6652653061224489,0.7064163265306123,0.7948000000000001,0.7581265306122449,0.7850530612244899
Block_13,0.7366816326530612,0.7651551020408165,0.7540489795918368,0.7554040816326532,0.6071428571428571,0.6594081632653062,0.677004081632653,0.7500857142857142,0.7199551020408163,0.764465306122449
Block_14,0.7938,0.8262244897959183,0.8158326530612245,0.8171265306122448,0.6585714285714285,0.691004081632653,0.7442857142857142,0.8220979591836736,0.7727265306122449,0.8206367346938777
Block_15,0.7729632653061224,0.7967836734693878,0.7884489795918367,0.7885551020408164,0.6371428571428571,0.6806530612244899,0.7311591836734694,0.7840326530612244,0.7555918367346939,0.7883020408163266
Block_16,0.7608734693877551,0.7932979591836736,0.7881142857142857,0.7860816326530613,0.6242857142857143,0.6476979591836735,0.7244408163265306,0.7880530612244898,0.7402816326530612,0.7917469387755103
Block_17,0.7919265306122449,0.8220775510204081,0.8103102040816328,0.8116816326530611,0.6285714285714286,0.6774897959183674,0.7321306122448981,0.8176653061224489,0.767734693877551,0.8175265306122449
Block_18,0.7371755102040816,0.7721510204081632,0.7640081632653062,0.767534693877551,0.5971428571428572,0.6855102040816325,0.6912816326530612,0.7664979591836735,0.7313877551020408,0.7768326530612245
Block_19,0.7718734693877551,0.7985102040816328,0.7890367346938775,0.7880081632653061,0.6599999999999999,0.6908163265306123,0.7372326530612245,0.7909102040816327,0.7579795918367346,0.7947020408163266
Block_20,0.7422857142857143,0.7857020408163266,0.7884408163265306,0.7873428571428571,0.6328571428571428,0.6488897959183674,0.6960367346938776,0.7803918367346939,0.7239877551020407,0.7746285714285714
Block_21,0.7601428571428572,0.7748204081632654,0.7661469387755102,0.7695265306122449,0.6185714285714285,0.6819714285714286,0.6990285714285713,0.7648204081632652,0.7357795918367347,0.7758530612244898
Block_22,0.7948530612244898,0.8005510204081632,0.7962040816326531,0.793738775510204,0.6742857142857144,0.6751959183673469,0.7278979591836735,0.7952775510204082,0.7818367346938775,0.7967020408163266
Block_23,0.745473469387755,0.7661714285714285,0.7501877551020407,0.7469714285714286,0.6128571428571428,0.6477265306122448,0.6862448979591838,0.7585142857142857,0.7092816326530612,0.7643346938775509
Block_24,0.7529469387755102,0.7822122448979592,0.7775102040816326,0.7777877551020408,0.6314285714285715,0.6801265306122449,0.7466693877551022,0.7757306122448979,0.7503591836734694,0.7788163265306123
Block_25,0.7410938775510204,0.7885591836734693,0.7809428571428572,0.7804244897959184,0.6285714285714286,0.6659551020408163,0.7133387755102041,0.7816979591836735,0.722395918367347,0.7821714285714285
Block_26,0.7489224489795918,0.7854408163265306,0.7697469387755101,0.773861224489796,0.6642857142857144,0.6643020408163265,0.6863673469387754,0.7758285714285714,0.7233795918367347,0.775795918367347
Block_27,0.7911224489795918,0.8139469387755102,0.7975510204081633,0.7951510204081632,0.6328571428571428,0.6981918367346939,0.7497469387755102,0.8107918367346939,0.7820408163265307,0.8141795918367348
Block_28,0.7841510204081632,0.808791836734694,0.7845102040816326,0.7863836734693878,0.6242857142857143,0.6593714285714286,0.7105551020408164,0.7961224489795917,0.7578163265306123,0.7961714285714285
Block_29,0.7501510204081633,0.7938448979591836,0.7720571428571429,0.7680163265306121,0.6128571428571429,0.6826775510204082,0.6899020408163266,0.7776816326530611,0.7306122448979592,0.7890285714285714
Block_30,0.7693632653061224,0.789265306122449,0.7875836734693878,0.7866285714285715,0.6342857142857143,0.6613224489795919,0.7022204081632654,0.7892612244897959,0.7525795918367347,0.7838204081632654
Block_31,0.7461183673469387,0.7668,0.7627918367346939,0.7617877551020408,0.6371428571428571,0.6509836734693878,0.688734693877551,0.7665224489795919,0.7258326530612246,0.7656081632653061
Block_32,0.7613224489795918,0.7822693877551021,0.7784897959183673,0.7801224489795918,0.63,0.6765836734693877,0.712865306122449,0.7823020408163266,0.7402448979591837,0.7723755102040816
Block_33,0.7408244897959184,0.7808816326530612,0.7741673469387755,0.7743102040816325,0.6285714285714287,0.6459224489795918,0.685730612244898,0.772730612244898,0.7291183673469387,0.7743918367346939
Block_34,0.753065306122449,0.7993183673469387,0.8003673469387755,0.8031265306122448,0.6042857142857142,0.6742612244897959,0.746204081632653,0.7988938775510205,0.7509224489795918,0.7914040816326531
Block_35,0.802457142857143,0.8388734693877551,0.8364571428571429,0.8332244897959182,0.6385714285714287,0.6902571428571429,0.7234204081632652,0.8337836734693879,0.7880408163265307,0.8290530612244899
Block_36,0.772138775510204,0.7983183673469387,0.7923510204081633,0.7908979591836736,0.6242857142857142,0.6647142857142856,0.7147918367346939,0.785804081632653,0.7462285714285716,0.8024979591836734
Block_37,0.7891632653061224,0.8224408163265305,0.8212734693877549,0.8187755102040817,0.6542857142857142,0.6735795918367347,0.7432244897959185,0.8216857142857142,0.7681102040816327,0.8203999999999999
Block_38,0.7830816326530613,0.8202938775510202,0.815526530612245,0.8173632653061225,0.6314285714285713,0.7126122448979592,0.7611673469387754,0.8181795918367346,0.7743142857142857,0.8260326530612244
Block_39,0.8085469387755103,0.8197142857142857,0.804534693877551,0.8048408163265306,0.6542857142857142,0.7010244897959184,0.7172571428571428,0.8129836734693876,0.7856612244897959,0.8200326530612244
Block_40,0.7677817778104311,0.8048147331814954,0.7944636282745166,0.7937452550633066,0.6399970612004996,0.6736871321398542,0.7228630437799493,0.8015942987289691,0.7468918113617254,0.8067984228442682
Block_41,0.7768553212679287,0.8118678519824651,0.800182042302386,0.8003085739475424,0.6685768863419294,0.6772871615278493,0.706789443179128,0.8036392133813338,0.7527326753687785,0.8099984489669303
Block_42,0.7444428117780553,0.7717940554616772,0.7629735752944922,0.7626429603506968,0.6285357431489236,0.6593931379031666,0.6972750797965698,0.7617164221748749,0.7402386958260884,0.764259300075919
Block_43,0.7289202360835597,0.7649123666315645,0.7620796904464526,0.7606102906962505,0.6085029265545026,0.64471954873101,0.6894995061184173,0.7494142809329056,0.7102139609302933,0.7616633605172287
Block_44,0.7750961232336591,0.7977738593784438,0.7908146188948482,0.787745206083315,0.6271438950522046,0.6869851998791827,0.7321774055298411,0.7949942448509784,0.7576755728618192,0.7921860586617033
Block_45,0.7620307104547791,0.7816431154540038,0.7768675662658471,0.7782839043584029,0.6285928864725426,0.6570788332965984,0.7193528110433555,0.7772716511971527,0.7461856831484338,0.7749042849329382
Block_46,0.775585923150393,0.8210189470934457,0.802655531881893,0.8033208434354566,0.5999640813394395,0.7086506828627172,0.7492999942856675,0.8102433489252974,0.7571408746193846,0.8115739720324247
Block_47,0.7598143658315578,0.789573792439122,0.7854186564788284,0.7869125462248672,0.6400542045241185,0.6729442689328076,0.6669850366125438,0.790365635637842,0.7637939901550217,0.783034963550723
Block_48,0.7517163405415555,0.7962269079747589,0.7967003812276019,0.7958677213691541,0.6184907631899037,0.6728136556216785,0.6937526020620577,0.7922350386533767,0.7365121347929371,0.7893941991363195
Block_49,0.7743899950203675,0.7972636511318459,0.7995534657425776,0.7944473016106254,0.6200785312533164,0.6838463987461122,0.7210426207560877,0.7989820325063878,0.7467611980505964,0.7837370100980415
Block_50,0.796206499644895,0.8217128303088188,0.8069127094915061,0.804104523302231,0.6228050841231356,0.6782055363717254,0.7208140474616119,0.8167780961477236,0.7678919827916963,0.8102188589294607
