Subject_ID,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
Block_1,0.6971428571428572,0.6885714285714286,0.6371428571428571,0.68,0.6485714285714286,0.5771428571428572,0.34,0.66,0.7,0.76
Block_2,0.6657142857142857,0.6428571428571429,0.5685714285714286,0.6057142857142858,0.6685714285714286,0.5714285714285714,0.2542857142857143,0.5914285714285714,0.6371428571428571,0.7
Block_3,0.7171428571428572,0.6771428571428572,0.5942857142857143,0.6285714285714286,0.6657142857142857,0.6,0.3028571428571429,0.6257142857142857,0.7057142857142857,0.7371428571428571
Block_4,0.7114285714285714,0.7142857142857143,0.6257142857142857,0.6771428571428572,0.6542857142857142,0.6628571428571428,0.34,0.64,0.6885714285714286,0.7685714285714286
Block_5,0.6942857142857143,0.7085714285714285,0.6571428571428571,0.7,0.6285714285714286,0.6628571428571428,0.3514285714285714,0.6657142857142857,0.6657142857142857,0.7628571428571429
Block_6,0.7,0.7057142857142857,0.6371428571428571,0.6571428571428571,0.6285714285714286,0.6028571428571429,0.31142857142857144,0.6628571428571428,0.6742857142857143,0.7485714285714286
Block_7,0.7028571428571428,0.7257142857142858,0.6828571428571428,0.7085714285714285,0.6685714285714286,0.6,0.34285714285714286,0.6828571428571428,0.6971428571428572,0.7714285714285715
Block_8,0.6657142857142857,0.6571428571428571,0.6,0.6371428571428571,0.62,0.6228571428571429,0.32285714285714284,0.62,0.6771428571428572,0.7342857142857143
Block_9,0.6457142857142857,0.6457142857142857,0.5857142857142857,0.6314285714285715,0.62,0.62,0.3314285714285714,0.5771428571428572,0.64,0.7
Block_10,0.7028571428571428,0.7114285714285714,0.6371428571428571,0.6657142857142857,0.6371428571428571,0.5857142857142857,0.32285714285714284,0.6571428571428571,0.6942857142857143,0.7457142857142857
Block_11,0.6657142857142857,0.6914285714285714,0.64,0.6714285714285714,0.6257142857142857,0.6285714285714286,0.34,0.6342857142857142,0.6771428571428572,0.74
Block_12,0.7,0.6971428571428572,0.6257142857142857,0.6714285714285714,0.6485714285714286,0.6028571428571429,0.3485714285714286,0.6514285714285715,0.7057142857142857,0.74
Block_13,0.6771428571428572,0.6914285714285714,0.6257142857142857,0.6742857142857143,0.6171428571428571,0.6142857142857143,0.32285714285714284,0.6228571428571429,0.6942857142857143,0.7485714285714286
Block_14,0.72,0.7057142857142857,0.6285714285714286,0.6714285714285714,0.6371428571428571,0.6142857142857143,0.32857142857142857,0.6485714285714286,0.6828571428571428,0.7628571428571429
Block_15,0.7,0.7028571428571428,0.6485714285714286,0.6685714285714286,0.6285714285714286,0.6057142857142858,0.3171428571428571,0.6514285714285715,0.6857142857142857,0.7428571428571429
Block_16,0.6971428571428572,0.6771428571428572,0.6228571428571429,0.6742857142857143,0.6114285714285714,0.58,0.35714285714285715,0.6342857142857142,0.6771428571428572,0.76
Block_17,0.6914285714285714,0.7114285714285714,0.6628571428571428,0.6914285714285714,0.6428571428571429,0.6142857142857143,0.3457142857142857,0.6685714285714286,0.6914285714285714,0.76
Block_18,0.6628571428571428,0.6914285714285714,0.6314285714285715,0.68,0.58,0.6428571428571429,0.3485714285714286,0.6428571428571429,0.6942857142857143,0.7628571428571429
Block_19,0.6714285714285714,0.6942857142857143,0.66,0.6714285714285714,0.6428571428571429,0.62,0.34285714285714286,0.6628571428571428,0.6857142857142857,0.7342857142857143
Block_20,0.6914285714285714,0.6714285714285714,0.6171428571428571,0.6542857142857142,0.64,0.5885714285714285,0.3028571428571429,0.6314285714285715,0.68,0.74
Block_21,0.68,0.6914285714285714,0.6142857142857143,0.6514285714285715,0.6085714285714285,0.6257142857142857,0.3342857142857143,0.6371428571428571,0.6571428571428571,0.7428571428571429
Block_22,0.7342857142857143,0.7085714285714285,0.6542857142857142,0.6942857142857143,0.66,0.5885714285714285,0.34285714285714286,0.6542857142857142,0.7228571428571429,0.7342857142857143
