,Rank Sum
MLP,99.8888888888889
GradientBoosting,80.11111111111111
RandomForest,76.77777777777777
ExtraTrees,67.33333333333333
LogisticRegression,60.22222222222222
AdaBoost,38.88888888888889
SVM_Linear,28.999999999999996
DecisionTree,28.888888888888886
KNN,18.88888888888889
NaiveBayes,0.0
