,Rank Sum
NaiveBayes,100.0
SVM_Linear,87.44444444444444
AdaBoost,78.44444444444446
LogisticRegression,62.77777777777778
GradientBoosting,60.0
RandomForest,41.0
MLP,29.555555555555557
ExtraTrees,28.77777777777778
KNN,9.333333333333334
DecisionTree,2.666666666666667
