,Rank Sum
GradientBoosting,95.77777777777777
MLP,80.0
AdaBoost,76.88888888888889
SVM_Linear,69.33333333333334
LogisticRegression,65.33333333333333
RandomForest,45.55555555555556
ExtraTrees,33.77777777777778
NaiveBayes,22.0
KNN,11.333333333333332
DecisionTree,0.0
