"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"Llama-3.3-70B";"Llama-3.1-8B";"Accuracy";"0.0000";"0.0011";"+1.000";"[+1.000, +1.000]";"0.973";"0.336";"[0.314, 0.355]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Gemma-2-27B";"Accuracy";"0.0000";"0.0008";"+0.998";"[+0.977, +1.000]";"0.973";"0.180";"[0.161, 0.200]";"0.171";"1";"82.5";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Gemma-2-9B";"Accuracy";"0.0000";"0.0008";"+1.000";"[+1.000, +1.000]";"0.973";"0.316";"[0.295, 0.337]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Qwen2.5-72B";"Accuracy";"0.0000";"0.0038";"-0.604";"[-0.741, -0.448]";"0.973";"0.054";"[0.042, 0.066]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Qwen2.5-7B";"Accuracy";"0.0000";"0.0010";"+1.000";"[+1.000, +1.000]";"0.973";"0.217";"[0.202, 0.236]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0036";"+0.933";"[+0.809, +0.981]";"0.973";"0.116";"[0.095, 0.134]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0028";"+0.941";"[+0.789, +0.990]";"0.973";"0.129";"[0.109, 0.151]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0020";"+1.000";"[+1.000, +1.000]";"0.973";"0.874";"[0.847, 0.897]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.973";"0.410";"[0.385, 0.433]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.3-70B";"Mistral-Large-2411";"Accuracy";"0.0001";"0.0071";"-0.486";"[-0.659, -0.266]";"0.973";"0.042";"[0.025, 0.055]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"Gemma-2-27B";"Accuracy";"0.0000";"0.0010";"-0.956";"[-0.996, -0.824]";"0.973";"0.158";"[0.138, 0.180]";"0.171";"0";"6.3";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"Qwen2.5-72B";"Accuracy";"0.0000";"0.0016";"-1.000";"[-1.000, -1.000]";"0.973";"0.388";"[0.369, 0.408]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"Qwen2.5-7B";"Accuracy";"0.0000";"0.0011";"-0.859";"[-0.937, -0.733]";"0.973";"0.121";"[0.101, 0.140]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0014";"-0.993";"[-1.000, -0.960]";"0.973";"0.222";"[0.201, 0.243]";"0.171";"1";"98.3";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0008";"-0.993";"[-1.000, -0.972]";"0.973";"0.209";"[0.187, 0.228]";"0.171";"1";"99.2";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0023";"+1.000";"[+1.000, +1.000]";"0.973";"0.580";"[0.546, 0.613]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0024";"-1.000";"[-1.000, -1.000]";"0.973";"0.377";"[0.355, 0.398]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Llama-3.1-8B";"Phi-4";"Accuracy";"0.0000";"0.0017";"-1.000";"[-1.000, -1.000]";"0.973";"0.344";"[0.323, 0.365]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"Gemma-2-9B";"Accuracy";"0.0000";"0.0022";"+0.897";"[+0.682, +0.999]";"0.973";"0.138";"[0.118, 0.158]";"0.171";"0";"0.1";"";"(1) Decision by number of wins";
"Gemma-2-27B";"Qwen2.5-72B";"Accuracy";"0.0000";"0.0009";"-1.000";"[-1.000, -1.000]";"0.973";"0.233";"[0.216, 0.252]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0050";"-0.718";"[-0.868, -0.498]";"0.973";"0.065";"[0.047, 0.083]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0056";"-0.642";"[-0.829, -0.397]";"0.973";"0.051";"[0.034, 0.070]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0014";"+1.000";"[+1.000, +1.000]";"0.973";"0.722";"[0.697, 0.747]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0015";"+0.991";"[+0.943, +1.000]";"0.973";"0.234";"[0.209, 0.259]";"0.171";"1";"95.3";"";"(1) Decision by number of wins";
"Gemma-2-27B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0012";"-1.000";"[-1.000, -1.000]";"0.973";"0.222";"[0.203, 0.243]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-27B";"Phi-4";"Accuracy";"0.0000";"0.0017";"-0.998";"[-1.000, -0.973]";"0.973";"0.189";"[0.174, 0.205]";"0.171";"1";"98.6";"";"(1) Decision by number of wins";
"Gemma-2-9B";"Qwen2.5-72B";"Accuracy";"0.0000";"0.0013";"-1.000";"[-1.000, -1.000]";"0.973";"0.368";"[0.344, 0.390]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-9B";"Qwen2.5-7B";"Accuracy";"0.0000";"0.0031";"-0.802";"[-0.913, -0.614]";"0.973";"0.101";"[0.081, 0.120]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Gemma-2-9B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0014";"-0.959";"[-1.000, -0.800]";"0.973";"0.202";"[0.180, 0.222]";"0.171";"0";"35.8";"";"(1) Decision by number of wins";
"Gemma-2-9B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0010";"-0.944";"[-1.000, -0.767]";"0.973";"0.189";"[0.166, 0.211]";"0.171";"0";"34.9";"";"(1) Decision by number of wins";
"Gemma-2-9B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0008";"+1.000";"[+1.000, +1.000]";"0.973";"0.599";"[0.574, 0.627]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-9B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0011";"-1.000";"[-1.000, -1.000]";"0.973";"0.357";"[0.337, 0.377]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Gemma-2-9B";"Phi-4";"Accuracy";"0.0000";"0.0012";"-0.999";"[-1.000, -0.987]";"0.973";"0.325";"[0.302, 0.347]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"Qwen2.5-7B";"Accuracy";"0.0000";"0.0008";"+1.000";"[+1.000, +1.000]";"0.973";"0.270";"[0.253, 0.290]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0009";"+1.000";"[+1.000, +1.000]";"0.973";"0.169";"[0.149, 0.187]";"0.171";"0";"44.2";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0013";"+0.997";"[+0.963, +1.000]";"0.973";"0.182";"[0.164, 0.198]";"0.171";"1";"90.6";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0021";"+1.000";"[+1.000, +1.000]";"0.973";"0.917";"[0.889, 0.943]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0018";"+1.000";"[+1.000, +1.000]";"0.973";"0.461";"[0.441, 0.479]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-72B";"Phi-4";"Accuracy";"0.0000";"0.0042";"+0.551";"[+0.400, +0.701]";"0.973";"0.045";"[0.034, 0.055]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"DeepSeek-R1-Llama-70B";"Accuracy";"0.0000";"0.0033";"-0.844";"[-0.951, -0.662]";"0.973";"0.102";"[0.082, 0.123]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"DeepSeek-R1-Qwen-32B";"Accuracy";"0.0000";"0.0008";"-0.800";"[-0.918, -0.612]";"0.973";"0.089";"[0.073, 0.108]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0009";"+1.000";"[+1.000, +1.000]";"0.973";"0.689";"[0.662, 0.716]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0029";"+0.977";"[+0.891, +0.998]";"0.973";"0.197";"[0.166, 0.221]";"0.171";"1";"63.9";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0011";"-1.000";"[-1.000, -1.000]";"0.973";"0.259";"[0.241, 0.277]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Qwen2.5-7B";"Phi-4";"Accuracy";"0.0000";"0.0015";"-0.998";"[-1.000, -0.973]";"0.973";"0.226";"[0.208, 0.246]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-70B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0009";"+1.000";"[+1.000, +1.000]";"0.973";"0.778";"[0.754, 0.801]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-70B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0010";"+1.000";"[+1.000, +1.000]";"0.973";"0.298";"[0.270, 0.324]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-70B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0025";"-0.988";"[-1.000, -0.941]";"0.973";"0.158";"[0.138, 0.180]";"0.171";"0";"10.8";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-70B";"Phi-4";"Accuracy";"0.0000";"0.0013";"-0.963";"[-0.996, -0.847]";"0.973";"0.124";"[0.106, 0.141]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Qwen-32B";"DeepSeek-R1-Llama-8B";"Accuracy";"0.0000";"0.0008";"+1.000";"[+1.000, +1.000]";"0.973";"0.767";"[0.742, 0.788]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Qwen-32B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.973";"0.285";"[0.260, 0.308]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Qwen-32B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0009";"-0.987";"[-1.000, -0.944]";"0.973";"0.171";"[0.154, 0.190]";"0.171";"1";"48.9";"";"(1) Decision by number of wins";
"DeepSeek-R1-Qwen-32B";"Phi-4";"Accuracy";"0.0000";"0.0008";"-0.969";"[-0.994, -0.896]";"0.973";"0.137";"[0.122, 0.152]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-8B";"Mistral-Nemo";"Accuracy";"0.0000";"0.0026";"-1.000";"[-1.000, -1.000]";"0.973";"0.509";"[0.473, 0.547]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-8B";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0019";"-1.000";"[-1.000, -1.000]";"0.973";"0.908";"[0.883, 0.931]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"DeepSeek-R1-Llama-8B";"Phi-4";"Accuracy";"0.0000";"0.0010";"-1.000";"[-1.000, -1.000]";"0.973";"0.881";"[0.857, 0.906]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Mistral-Nemo";"Mistral-Large-2411";"Accuracy";"0.0000";"0.0009";"-1.000";"[-1.000, -1.000]";"0.973";"0.450";"[0.424, 0.475]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Mistral-Nemo";"Phi-4";"Accuracy";"0.0000";"0.0019";"-1.000";"[-1.000, -1.000]";"0.973";"0.418";"[0.394, 0.437]";"0.171";"1";"100.0";"";"(1) Decision by number of wins";
"Mistral-Large-2411";"Phi-4";"Accuracy";"0.0037";"0.0100";"+0.408";"[+0.119, +0.658]";"0.973";"0.034";"[0.014, 0.052]";"0.171";"0";"0.0";"";"(1) Decision by number of wins";
