,Rank Sum
LogisticRegression,85.66666666666667
MLP,80.88888888888889
GradientBoosting,64.77777777777777
RandomForest,63.66666666666667
SVM_Linear,62.44444444444445
AdaBoost,49.77777777777778
ExtraTrees,39.88888888888889
KNN,27.22222222222222
DecisionTree,23.88888888888889
NaiveBayes,1.7777777777777777
