,Rank Sum
NaiveBayes,100.0
MLP,85.66666666666667
DecisionTree,75.33333333333333
LogisticRegression,64.88888888888889
AdaBoost,41.44444444444444
GradientBoosting,36.77777777777778
SVM_Linear,34.88888888888889
RandomForest,29.777777777777775
KNN,20.22222222222222
ExtraTrees,11.0
