,Rank Sum
RandomForest,84.55555555555556
ExtraTrees,83.11111111111111
SVM_Linear,77.33333333333333
GradientBoosting,73.55555555555556
LogisticRegression,62.11111111111111
AdaBoost,45.77777777777778
KNN,39.55555555555556
MLP,22.666666666666664
DecisionTree,11.333333333333332
NaiveBayes,0.0
