Subject_ID,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
Block_1,0.36538461538461536,0.391025641025641,0.3782051282051282,0.4358974358974359,0.47435897435897434,0.3525641025641026,0.6602564102564102,0.3717948717948718,0.358974358974359,0.5384615384615384
Block_2,0.4358974358974359,0.48717948717948717,0.46153846153846156,0.5128205128205128,0.5448717948717948,0.46794871794871795,0.6923076923076923,0.5,0.4551282051282051,0.6089743589743589
Block_3,0.4807692307692308,0.4423076923076923,0.4807692307692308,0.5064102564102564,0.5769230769230769,0.40384615384615385,0.717948717948718,0.46153846153846156,0.4423076923076923,0.6025641025641025
Block_4,0.48717948717948717,0.5256410256410257,0.5,0.532051282051282,0.5192307692307693,0.4423076923076923,0.6602564102564102,0.5128205128205128,0.41025641025641024,0.532051282051282
Block_5,0.4394904458598726,0.4394904458598726,0.45222929936305734,0.47770700636942676,0.5095541401273885,0.4140127388535032,0.6687898089171974,0.445859872611465,0.3885350318471338,0.5859872611464968
Block_6,0.45222929936305734,0.45222929936305734,0.4585987261146497,0.4840764331210191,0.535031847133758,0.46496815286624205,0.6751592356687898,0.445859872611465,0.4012738853503185,0.5159235668789809
Block_7,0.4140127388535032,0.43312101910828027,0.45222929936305734,0.46496815286624205,0.5095541401273885,0.39490445859872614,0.7006369426751592,0.445859872611465,0.35668789808917195,0.554140127388535
Block_8,0.4840764331210191,0.49044585987261147,0.46496815286624205,0.5031847133757962,0.5095541401273885,0.4713375796178344,0.7133757961783439,0.4713375796178344,0.4394904458598726,0.6178343949044586
Block_9,0.4140127388535032,0.4394904458598726,0.445859872611465,0.4840764331210191,0.4840764331210191,0.5031847133757962,0.6369426751592356,0.4585987261146497,0.3885350318471338,0.5987261146496815
Block_10,0.4585987261146497,0.4713375796178344,0.45222929936305734,0.4713375796178344,0.554140127388535,0.45222929936305734,0.7006369426751592,0.49044585987261147,0.42038216560509556,0.6178343949044586
Block_11,0.43312101910828027,0.4394904458598726,0.4394904458598726,0.4968152866242038,0.5031847133757962,0.445859872611465,0.6815286624203821,0.4267515923566879,0.4012738853503185,0.5668789808917197
Block_12,0.4968152866242038,0.4840764331210191,0.49044585987261147,0.5222929936305732,0.5414012738853503,0.43312101910828027,0.6942675159235668,0.49044585987261147,0.4140127388535032,0.6050955414012739
Block_13,0.5159235668789809,0.535031847133758,0.5286624203821656,0.5605095541401274,0.6242038216560509,0.4840764331210191,0.732484076433121,0.5796178343949044,0.445859872611465,0.6242038216560509
Block_14,0.4840764331210191,0.535031847133758,0.5477707006369427,0.5668789808917197,0.5732484076433121,0.4968152866242038,0.7006369426751592,0.535031847133758,0.4840764331210191,0.6242038216560509
Block_15,0.4713375796178344,0.4585987261146497,0.4267515923566879,0.43312101910828027,0.5222929936305732,0.42038216560509556,0.643312101910828,0.4267515923566879,0.43312101910828027,0.554140127388535
Block_16,0.535031847133758,0.5414012738853503,0.5095541401273885,0.5732484076433121,0.5668789808917197,0.5031847133757962,0.7006369426751592,0.5605095541401274,0.4968152866242038,0.6178343949044586
Block_17,0.4840764331210191,0.5031847133757962,0.4713375796178344,0.4968152866242038,0.5414012738853503,0.4394904458598726,0.7579617834394905,0.4713375796178344,0.3885350318471338,0.5732484076433121
Block_18,0.49044585987261147,0.4968152866242038,0.4713375796178344,0.535031847133758,0.5222929936305732,0.4585987261146497,0.7070063694267515,0.4840764331210191,0.45222929936305734,0.643312101910828
Block_19,0.4012738853503185,0.4140127388535032,0.45222929936305734,0.5031847133757962,0.5286624203821656,0.40764331210191085,0.7070063694267515,0.445859872611465,0.37579617834394907,0.554140127388535
Block_20,0.4713375796178344,0.47770700636942676,0.47770700636942676,0.5159235668789809,0.5605095541401274,0.45222929936305734,0.7197452229299363,0.49044585987261147,0.4713375796178344,0.6305732484076433
Block_21,0.49044585987261147,0.5031847133757962,0.5095541401273885,0.5286624203821656,0.5414012738853503,0.4840764331210191,0.6815286624203821,0.5668789808917197,0.47770700636942676,0.6178343949044586
Block_22,0.4140127388535032,0.46496815286624205,0.445859872611465,0.46496815286624205,0.4840764331210191,0.4012738853503185,0.7006369426751592,0.46496815286624205,0.4012738853503185,0.5859872611464968
Block_23,0.4585987261146497,0.45222929936305734,0.46496815286624205,0.49044585987261147,0.5222929936305732,0.4140127388535032,0.7261146496815286,0.43312101910828027,0.46496815286624205,0.5859872611464968
Block_24,0.4585987261146497,0.4968152866242038,0.4840764331210191,0.5031847133757962,0.5732484076433121,0.47770700636942676,0.6369426751592356,0.5095541401273885,0.46496815286624205,0.5796178343949044
Block_25,0.4713375796178344,0.4585987261146497,0.4585987261146497,0.49044585987261147,0.5286624203821656,0.4140127388535032,0.6751592356687898,0.4585987261146497,0.4140127388535032,0.4968152866242038
Block_26,0.46496815286624205,0.445859872611465,0.46496815286624205,0.5159235668789809,0.5095541401273885,0.47770700636942676,0.7070063694267515,0.49044585987261147,0.4713375796178344,0.5414012738853503
Block_27,0.46496815286624205,0.4585987261146497,0.47770700636942676,0.5222929936305732,0.554140127388535,0.4394904458598726,0.6942675159235668,0.4267515923566879,0.4267515923566879,0.5414012738853503
Block_28,0.45222929936305734,0.45222929936305734,0.45222929936305734,0.5095541401273885,0.5031847133757962,0.45222929936305734,0.6624203821656051,0.49044585987261147,0.4012738853503185,0.5859872611464968
Block_29,0.4713375796178344,0.49044585987261147,0.4968152866242038,0.5286624203821656,0.5668789808917197,0.40764331210191085,0.6624203821656051,0.49044585987261147,0.45222929936305734,0.5796178343949044
Block_30,0.4140127388535032,0.445859872611465,0.4394904458598726,0.4840764331210191,0.5477707006369427,0.445859872611465,0.7770700636942676,0.45222929936305734,0.40764331210191085,0.5414012738853503
Block_31,0.49044585987261147,0.5031847133757962,0.4840764331210191,0.5286624203821656,0.535031847133758,0.4394904458598726,0.732484076433121,0.46496815286624205,0.5031847133757962,0.6178343949044586
Block_32,0.42038216560509556,0.4394904458598726,0.4140127388535032,0.4968152866242038,0.5286624203821656,0.4012738853503185,0.6815286624203821,0.445859872611465,0.42038216560509556,0.4968152866242038
Block_33,0.35668789808917195,0.35668789808917195,0.35668789808917195,0.4012738853503185,0.46496815286624205,0.3630573248407643,0.6560509554140127,0.37579617834394907,0.36942675159235666,0.4840764331210191
Block_34,0.554140127388535,0.5477707006369427,0.5414012738853503,0.5923566878980892,0.6178343949044586,0.5286624203821656,0.7070063694267515,0.5414012738853503,0.5286624203821656,0.6114649681528662
Block_35,0.45222929936305734,0.43312101910828027,0.4968152866242038,0.535031847133758,0.46496815286624205,0.3821656050955414,0.7070063694267515,0.4713375796178344,0.39490445859872614,0.46496815286624205
Block_36,0.46496815286624205,0.4585987261146497,0.4840764331210191,0.5286624203821656,0.535031847133758,0.4840764331210191,0.7070063694267515,0.47770700636942676,0.4713375796178344,0.6305732484076433
Block_37,0.4012738853503185,0.40764331210191085,0.35668789808917195,0.3821656050955414,0.5477707006369427,0.33121019108280253,0.6687898089171974,0.39490445859872614,0.36942675159235666,0.5222929936305732
Block_38,0.4267515923566879,0.4713375796178344,0.42038216560509556,0.4713375796178344,0.5286624203821656,0.37579617834394907,0.6624203821656051,0.47770700636942676,0.3821656050955414,0.5477707006369427
Block_39,0.39490445859872614,0.3885350318471338,0.39490445859872614,0.45222929936305734,0.4585987261146497,0.45222929936305734,0.7261146496815286,0.3821656050955414,0.4267515923566879,0.554140127388535
