"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"RandomForest";"GradientBoosting";"Recall";"0.0071";"0.0083";"-0.095";"[-0.196, +0.015]";"0.440";"0.019";"[0.007, 0.031]";"0.077";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"LogisticRegression";"Recall";"0.0000";"0.0024";"-0.535";"[-0.652, -0.401]";"0.440";"0.088";"[0.072, 0.104]";"0.077";"1";"89.8";"";"(1) Decision by number of wins";
"RandomForest";"DecisionTree";"Recall";"0.0000";"0.0011";"-0.794";"[-0.878, -0.681]";"0.440";"0.143";"[0.124, 0.164]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"NaiveBayes";"Recall";"0.0000";"0.0013";"-1.000";"[-1.000, -1.000]";"0.440";"0.417";"[0.395, 0.441]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"AdaBoost";"Recall";"0.0047";"0.0071";"-0.151";"[-0.274, -0.029]";"0.440";"0.029";"[0.012, 0.046]";"0.077";"0";"0.0";"";"(1) Decision by number of wins";
"RandomForest";"MLP";"Recall";"0.0000";"0.0012";"-0.929";"[-0.972, -0.848]";"0.440";"0.222";"[0.199, 0.243]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"SVM_Linear";"Recall";"0.4151";"0.0500";"+0.018";"[-0.097, +0.126]";"0.440";"0.006";"[0.000, 0.018]";"0.077";"0";"0.0";"";"(1) Decision by number of wins";
"GradientBoosting";"LogisticRegression";"Recall";"0.0000";"0.0026";"-0.440";"[-0.568, -0.312]";"0.440";"0.069";"[0.054, 0.085]";"0.077";"0";"17.4";"";"(1) Decision by number of wins";
"GradientBoosting";"DecisionTree";"Recall";"0.0000";"0.0018";"-0.734";"[-0.831, -0.620]";"0.440";"0.124";"[0.107, 0.143]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"KNN";"Recall";"0.0000";"0.0050";"+0.308";"[+0.161, +0.442]";"0.440";"0.054";"[0.032, 0.074]";"0.077";"0";"1.1";"";"(1) Decision by number of wins";
"GradientBoosting";"NaiveBayes";"Recall";"0.0000";"0.0016";"-1.000";"[-1.000, -1.000]";"0.440";"0.399";"[0.374, 0.423]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"GradientBoosting";"ExtraTrees";"Recall";"0.0000";"0.0028";"+0.462";"[+0.330, +0.596]";"0.440";"0.082";"[0.062, 0.103]";"0.077";"1";"58.7";"";"(1) Decision by number of wins";
"GradientBoosting";"MLP";"Recall";"0.0000";"0.0011";"-0.902";"[-0.953, -0.818]";"0.440";"0.203";"[0.182, 0.223]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"LogisticRegression";"Recall";"0.0000";"0.0019";"-0.471";"[-0.577, -0.370]";"0.440";"0.075";"[0.066, 0.086]";"0.077";"0";"34.7";"";"(1) Decision by number of wins";
"SVM_Linear";"DecisionTree";"Recall";"0.0000";"0.0022";"-0.743";"[-0.844, -0.621]";"0.440";"0.130";"[0.110, 0.153]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"NaiveBayes";"Recall";"0.0000";"0.0013";"-1.000";"[-1.000, -1.000]";"0.440";"0.405";"[0.379, 0.428]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"SVM_Linear";"AdaBoost";"Recall";"0.0564";"0.0125";"-0.071";"[-0.183, +0.047]";"0.440";"0.016";"[0.002, 0.031]";"0.077";"0";"0.0";"";"(1) Decision by number of wins";
"SVM_Linear";"MLP";"Recall";"0.0000";"0.0017";"-0.902";"[-0.954, -0.811]";"0.440";"0.209";"[0.186, 0.230]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"DecisionTree";"Recall";"0.0000";"0.0045";"-0.378";"[-0.530, -0.232]";"0.440";"0.055";"[0.036, 0.078]";"0.077";"0";"2.3";"";"(1) Decision by number of wins";
"LogisticRegression";"KNN";"Recall";"0.0000";"0.0023";"+0.656";"[+0.522, +0.775]";"0.440";"0.123";"[0.102, 0.144]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"NaiveBayes";"Recall";"0.0000";"0.0012";"-1.000";"[-1.000, -1.000]";"0.440";"0.332";"[0.310, 0.357]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"AdaBoost";"Recall";"0.0000";"0.0033";"+0.396";"[+0.266, +0.528]";"0.440";"0.060";"[0.043, 0.076]";"0.077";"0";"2.0";"";"(1) Decision by number of wins";
"LogisticRegression";"ExtraTrees";"Recall";"0.0000";"0.0020";"+0.722";"[+0.604, +0.827]";"0.440";"0.152";"[0.132, 0.175]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"LogisticRegression";"MLP";"Recall";"0.0000";"0.0025";"-0.744";"[-0.848, -0.601]";"0.440";"0.134";"[0.108, 0.156]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"KNN";"Recall";"0.0000";"0.0019";"+0.872";"[+0.774, +0.936]";"0.440";"0.178";"[0.153, 0.206]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"NaiveBayes";"Recall";"0.0000";"0.0015";"-1.000";"[-1.000, -1.000]";"0.440";"0.278";"[0.256, 0.299]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"AdaBoost";"Recall";"0.0000";"0.0021";"+0.670";"[+0.526, +0.784]";"0.440";"0.115";"[0.094, 0.136]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
