"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"DecisionTree";"ExtraTrees";"Recall";"0.0000";"0.0013";"+0.895";"[+0.810, +0.947]";"0.440";"0.206";"[0.183, 0.230]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"DecisionTree";"MLP";"Recall";"0.0000";"0.0036";"-0.554";"[-0.691, -0.390]";"0.440";"0.079";"[0.058, 0.100]";"0.077";"1";"59.6";"";"(1) Decision by number of wins";
"KNN";"NaiveBayes";"Recall";"0.0000";"0.0016";"-1.000";"[-1.000, -1.000]";"0.440";"0.451";"[0.424, 0.476]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"KNN";"AdaBoost";"Recall";"0.0000";"0.0042";"-0.336";"[-0.468, -0.199]";"0.440";"0.064";"[0.042, 0.085]";"0.077";"0";"4.2";"";"(1) Decision by number of wins";
"KNN";"MLP";"Recall";"0.0000";"0.0014";"-0.956";"[-0.984, -0.898]";"0.440";"0.256";"[0.233, 0.279]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"NaiveBayes";"AdaBoost";"Recall";"0.0000";"0.0015";"+1.000";"[+1.000, +1.000]";"0.440";"0.390";"[0.361, 0.416]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"NaiveBayes";"ExtraTrees";"Recall";"0.0000";"0.0014";"+1.000";"[+1.000, +1.000]";"0.440";"0.477";"[0.450, 0.503]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"NaiveBayes";"MLP";"Recall";"0.0000";"0.0014";"+0.994";"[+0.968, +0.999]";"0.440";"0.200";"[0.179, 0.226]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"AdaBoost";"ExtraTrees";"Recall";"0.0000";"0.0029";"+0.483";"[+0.343, +0.612]";"0.440";"0.092";"[0.068, 0.116]";"0.077";"1";"73.8";"";"(1) Decision by number of wins";
"AdaBoost";"MLP";"Recall";"0.0000";"0.0017";"-0.858";"[-0.928, -0.755]";"0.440";"0.193";"[0.170, 0.216]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"ExtraTrees";"MLP";"Recall";"0.0000";"0.0012";"-0.965";"[-0.988, -0.915]";"0.440";"0.284";"[0.261, 0.307]";"0.077";"1";"100.0";"";"(1) Decision by number of wins";
"RandomForest";"SVM_Linear";"Recall";"0.0792";"0.0167";"-0.073";"[-0.174, +0.031]";"0.440";"0.013";"[0.001, 0.028]";"0.077";"0";"0.0";"";"(2) Decision by Cliff's d";
"RandomForest";"KNN";"Recall";"0.0017";"0.0063";"+0.214";"[+0.063, +0.354]";"0.440";"0.035";"[0.013, 0.055]";"0.077";"0";"0.0";"";"(2) Decision by Cliff's d";
"RandomForest";"ExtraTrees";"Recall";"0.0000";"0.0038";"+0.374";"[+0.250, +0.510]";"0.440";"0.063";"[0.045, 0.082]";"0.077";"0";"6.8";"";"(2) Decision by Cliff's d";
"GradientBoosting";"AdaBoost";"Recall";"0.2212";"0.0250";"-0.046";"[-0.150, +0.053]";"0.440";"0.010";"[0.001, 0.022]";"0.077";"0";"0.0";"";"(2) Decision by Cliff's d";
"SVM_Linear";"KNN";"Recall";"0.0001";"0.0056";"+0.282";"[+0.129, +0.433]";"0.440";"0.048";"[0.026, 0.070]";"0.077";"0";"0.2";"";"(2) Decision by Cliff's d";
"SVM_Linear";"ExtraTrees";"Recall";"0.0000";"0.0031";"+0.432";"[+0.292, +0.573]";"0.440";"0.077";"[0.055, 0.099]";"0.077";"0";"38.8";"";"(2) Decision by Cliff's d";
"KNN";"ExtraTrees";"Recall";"0.0137";"0.0100";"+0.187";"[+0.056, +0.328]";"0.440";"0.028";"[0.008, 0.050]";"0.077";"0";"0.0";"";"(2) Decision by Cliff's d";
"RandomForest";"DecisionTree";"F1";"0.0000";"0.0017";"+0.625";"[+0.481, +0.746]";"0.329";"0.084";"[0.067, 0.102]";"0.041";"1";"100.0";"1";"";
"GradientBoosting";"DecisionTree";"F1";"0.0000";"0.0016";"+0.652";"[+0.510, +0.772]";"0.329";"0.087";"[0.070, 0.103]";"0.041";"1";"100.0";"1";"";
"SVM_Linear";"DecisionTree";"F1";"0.0000";"0.0020";"+0.640";"[+0.475, +0.766]";"0.329";"0.086";"[0.067, 0.104]";"0.041";"1";"100.0";"1";"";
"LogisticRegression";"DecisionTree";"F1";"0.0000";"0.0014";"+0.813";"[+0.662, +0.902]";"0.329";"0.121";"[0.102, 0.139]";"0.041";"1";"100.0";"1";"";
"DecisionTree";"NaiveBayes";"F1";"0.0000";"0.0016";"+0.803";"[+0.618, +0.898]";"0.329";"0.103";"[0.083, 0.122]";"0.041";"1";"100.0";"1";"";
"DecisionTree";"AdaBoost";"F1";"0.0000";"0.0023";"-0.512";"[-0.659, -0.342]";"0.329";"0.067";"[0.048, 0.085]";"0.041";"1";"98.8";"1";"";
"KNN";"NaiveBayes";"F1";"0.0000";"0.0017";"+0.798";"[+0.631, +0.898]";"0.329";"0.119";"[0.095, 0.140]";"0.041";"1";"100.0";"1";"";
"NaiveBayes";"ExtraTrees";"F1";"0.0000";"0.0013";"-0.931";"[-0.973, -0.846]";"0.329";"0.146";"[0.125, 0.168]";"0.041";"1";"100.0";"1";"";
"NaiveBayes";"MLP";"F1";"0.0000";"0.0013";"-0.998";"[-1.000, -0.983]";"0.329";"0.219";"[0.202, 0.235]";"0.041";"1";"100.0";"1";"";
"RandomForest";"KNN";"F1";"0.0000";"0.0018";"+0.473";"[+0.341, +0.606]";"0.329";"0.068";"[0.053, 0.085]";"0.041";"1";"98.5";"0";"Ranking already correct";
"RandomForest";"NaiveBayes";"F1";"0.0000";"0.0011";"+0.965";"[+0.881, +0.996]";"0.329";"0.187";"[0.166, 0.206]";"0.041";"1";"100.0";"0";"Ranking already correct";
"RandomForest";"ExtraTrees";"F1";"0.0000";"0.0024";"+0.336";"[+0.204, +0.463]";"0.329";"0.041";"[0.028, 0.054]";"0.041";"1";"45.3";"0";"Ranking already correct";
"GradientBoosting";"KNN";"F1";"0.0000";"0.0019";"+0.501";"[+0.368, +0.630]";"0.329";"0.071";"[0.055, 0.087]";"0.041";"1";"99.6";"0";"Ranking already correct";
"GradientBoosting";"NaiveBayes";"F1";"0.0000";"0.0011";"+0.963";"[+0.832, +0.997]";"0.329";"0.190";"[0.171, 0.210]";"0.041";"1";"100.0";"0";"Ranking already correct";
"GradientBoosting";"ExtraTrees";"F1";"0.0000";"0.0026";"+0.362";"[+0.224, +0.514]";"0.329";"0.044";"[0.029, 0.059]";"0.041";"1";"59.4";"0";"Ranking already correct";
"SVM_Linear";"KNN";"F1";"0.0000";"0.0021";"+0.510";"[+0.358, +0.642]";"0.329";"0.071";"[0.053, 0.086]";"0.041";"1";"99.5";"0";"Ranking already correct";
"SVM_Linear";"NaiveBayes";"F1";"0.0000";"0.0012";"+0.938";"[+0.823, +0.982]";"0.329";"0.189";"[0.168, 0.208]";"0.041";"1";"100.0";"0";"Ranking already correct";
"SVM_Linear";"ExtraTrees";"F1";"0.0000";"0.0033";"+0.367";"[+0.225, +0.522]";"0.329";"0.043";"[0.028, 0.059]";"0.041";"1";"57.3";"0";"Ranking already correct";
"LogisticRegression";"KNN";"F1";"0.0000";"0.0014";"+0.714";"[+0.578, +0.820]";"0.329";"0.105";"[0.088, 0.121]";"0.041";"1";"100.0";"0";"Ranking already correct";
"LogisticRegression";"NaiveBayes";"F1";"0.0000";"0.0012";"+0.983";"[+0.931, +1.000]";"0.329";"0.223";"[0.205, 0.241]";"0.041";"1";"100.0";"0";"Ranking already correct";
"LogisticRegression";"AdaBoost";"F1";"0.0000";"0.0022";"+0.440";"[+0.300, +0.572]";"0.329";"0.054";"[0.040, 0.067]";"0.041";"1";"94.1";"0";"Ranking already correct";
"LogisticRegression";"ExtraTrees";"F1";"0.0000";"0.0015";"+0.578";"[+0.431, +0.701]";"0.329";"0.078";"[0.062, 0.094]";"0.041";"1";"100.0";"0";"Ranking already correct";
"DecisionTree";"MLP";"F1";"0.0000";"0.0013";"-0.812";"[-0.893, -0.690]";"0.329";"0.116";"[0.098, 0.134]";"0.041";"1";"100.0";"0";"Ranking already correct";
"KNN";"AdaBoost";"F1";"0.0000";"0.0028";"-0.364";"[-0.513, -0.228]";"0.329";"0.051";"[0.034, 0.068]";"0.041";"1";"69.4";"0";"Ranking already correct";
"KNN";"MLP";"F1";"0.0000";"0.0014";"-0.707";"[-0.804, -0.570]";"0.329";"0.100";"[0.083, 0.118]";"0.041";"1";"100.0";"0";"Ranking already correct";
"NaiveBayes";"AdaBoost";"F1";"0.0000";"0.0012";"-0.920";"[-0.978, -0.798]";"0.329";"0.170";"[0.150, 0.191]";"0.041";"1";"100.0";"0";"Ranking already correct";
"AdaBoost";"MLP";"F1";"0.0000";"0.0031";"-0.415";"[-0.571, -0.245]";"0.329";"0.049";"[0.031, 0.067]";"0.041";"1";"78.2";"0";"Ranking already correct";
"ExtraTrees";"MLP";"F1";"0.0000";"0.0019";"-0.558";"[-0.692, -0.406]";"0.329";"0.073";"[0.055, 0.090]";"0.041";"1";"99.9";"0";"Ranking already correct";
"RandomForest";"GradientBoosting";"F1";"0.4720";"0.0125";"-0.006";"[-0.098, +0.108]";"0.329";"0.003";"[0.000, 0.009]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"RandomForest";"SVM_Linear";"F1";"0.8853";"0.0250";"-0.037";"[-0.147, +0.065]";"0.329";"0.002";"[0.000, 0.008]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"RandomForest";"LogisticRegression";"F1";"0.0000";"0.0025";"-0.329";"[-0.460, -0.210]";"0.329";"0.037";"[0.024, 0.048]";"0.041";"0";"22.6";"0";"Criteria for F1 win not met";
"RandomForest";"AdaBoost";"F1";"0.0230";"0.0083";"+0.148";"[+0.015, +0.294]";"0.329";"0.017";"[0.003, 0.031]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"RandomForest";"MLP";"F1";"0.0011";"0.0045";"-0.288";"[-0.440, -0.133]";"0.329";"0.032";"[0.015, 0.049]";"0.041";"0";"14.2";"0";"Criteria for F1 win not met";
"GradientBoosting";"SVM_Linear";"F1";"0.9484";"0.0500";"-0.022";"[-0.152, +0.088]";"0.329";"0.000";"[0.000, 0.001]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"GradientBoosting";"LogisticRegression";"F1";"0.0000";"0.0029";"-0.311";"[-0.441, -0.184]";"0.329";"0.034";"[0.022, 0.046]";"0.041";"0";"11.7";"0";"Criteria for F1 win not met";
"GradientBoosting";"AdaBoost";"F1";"0.0007";"0.0038";"+0.166";"[+0.055, +0.274]";"0.329";"0.020";"[0.009, 0.029]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"GradientBoosting";"MLP";"F1";"0.0011";"0.0042";"-0.282";"[-0.446, -0.135]";"0.329";"0.029";"[0.014, 0.045]";"0.041";"0";"6.6";"0";"Criteria for F1 win not met";
"SVM_Linear";"LogisticRegression";"F1";"0.0000";"0.0015";"-0.289";"[-0.376, -0.205]";"0.329";"0.034";"[0.027, 0.042]";"0.041";"0";"2.6";"0";"Criteria for F1 win not met";
"SVM_Linear";"AdaBoost";"F1";"0.0050";"0.0063";"+0.192";"[+0.069, +0.316]";"0.329";"0.019";"[0.007, 0.031]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"SVM_Linear";"MLP";"F1";"0.0020";"0.0050";"-0.274";"[-0.438, -0.110]";"0.329";"0.029";"[0.012, 0.046]";"0.041";"0";"8.8";"0";"Criteria for F1 win not met";
"LogisticRegression";"MLP";"F1";"0.8056";"0.0167";"+0.026";"[-0.126, +0.199]";"0.329";"0.005";"[0.000, 0.017]";"0.041";"0";"0.0";"0";"Criteria for F1 win not met";
"DecisionTree";"KNN";"F1";"0.0880";"0.0100";"-0.149";"[-0.337, +0.042]";"0.329";"0.016";"[0.001, 0.037]";"0.041";"0";"1.1";"0";"Criteria for F1 win not met";
"DecisionTree";"ExtraTrees";"F1";"0.0002";"0.0036";"-0.293";"[-0.455, -0.123]";"0.329";"0.043";"[0.024, 0.062]";"0.041";"0";"34.0";"0";"Criteria for F1 win not met";
"KNN";"ExtraTrees";"F1";"0.0046";"0.0056";"-0.126";"[-0.246, +0.008]";"0.329";"0.027";"[0.011, 0.043]";"0.041";"0";"0.1";"0";"Criteria for F1 win not met";
"AdaBoost";"ExtraTrees";"F1";"0.0113";"0.0071";"+0.221";"[+0.067, +0.381]";"0.329";"0.024";"[0.006, 0.041]";"0.041";"0";"2.7";"0";"Criteria for F1 win not met";
"LogisticRegression";"MLP";"Precision";"0.0000";"0.0015";"+0.977";"[+0.907, +1.000]";"0.672";"0.175";"[0.159, 0.191]";"0.087";"1";"100.0";"1";"(1) F1 neutral";
"DecisionTree";"KNN";"Precision";"0.0000";"0.0016";"-0.988";"[-1.000, -0.945]";"0.672";"0.252";"[0.225, 0.276]";"0.087";"1";"100.0";"1";"(1) F1 neutral";
"RandomForest";"DecisionTree";"Precision";"0.0000";"0.0011";"+1.000";"[+1.000, +1.000]";"0.672";"0.368";"[0.349, 0.386]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"RandomForest";"KNN";"Precision";"0.0000";"0.0011";"+0.807";"[+0.693, +0.882]";"0.672";"0.119";"[0.105, 0.135]";"0.087";"1";"99.7";"0";"(1/2) No comparison -> F1 win";
"RandomForest";"NaiveBayes";"Precision";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.672";"0.714";"[0.697, 0.730]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"GradientBoosting";"DecisionTree";"Precision";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.672";"0.346";"[0.329, 0.363]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"GradientBoosting";"KNN";"Precision";"0.0000";"0.0031";"+0.697";"[+0.544, +0.806]";"0.672";"0.096";"[0.076, 0.114]";"0.087";"1";"65.6";"0";"(1/2) No comparison -> F1 win";
"GradientBoosting";"NaiveBayes";"Precision";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.672";"0.693";"[0.676, 0.710]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"SVM_Linear";"DecisionTree";"Precision";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.672";"0.354";"[0.333, 0.375]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"SVM_Linear";"KNN";"Precision";"0.0000";"0.0024";"+0.735";"[+0.597, +0.838]";"0.672";"0.104";"[0.087, 0.124]";"0.087";"1";"85.1";"0";"(1/2) No comparison -> F1 win";
"SVM_Linear";"NaiveBayes";"Precision";"0.0000";"0.0014";"+1.000";"[+1.000, +1.000]";"0.672";"0.701";"[0.685, 0.718]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"LogisticRegression";"DecisionTree";"Precision";"0.0000";"0.0014";"+1.000";"[+1.000, +1.000]";"0.672";"0.327";"[0.308, 0.346]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"LogisticRegression";"NaiveBayes";"Precision";"0.0000";"0.0015";"+1.000";"[+1.000, +1.000]";"0.672";"0.676";"[0.661, 0.693]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"DecisionTree";"NaiveBayes";"Precision";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.672";"0.370";"[0.347, 0.390]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"DecisionTree";"AdaBoost";"Precision";"0.0000";"0.0017";"-0.995";"[-1.000, -0.974]";"0.672";"0.284";"[0.265, 0.304]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"DecisionTree";"MLP";"Precision";"0.0000";"0.0023";"-0.928";"[-0.972, -0.850]";"0.672";"0.154";"[0.133, 0.174]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"KNN";"NaiveBayes";"Precision";"0.0000";"0.0018";"+1.000";"[+1.000, +1.000]";"0.672";"0.608";"[0.587, 0.627]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"KNN";"MLP";"Precision";"0.0000";"0.0029";"+0.728";"[+0.583, +0.830]";"0.672";"0.099";"[0.080, 0.119]";"0.087";"1";"80.6";"0";"(1/2) No comparison -> F1 win";
"NaiveBayes";"AdaBoost";"Precision";"0.0000";"0.0019";"-1.000";"[-1.000, -1.000]";"0.672";"0.637";"[0.620, 0.654]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"NaiveBayes";"ExtraTrees";"Precision";"0.0000";"0.0019";"-1.000";"[-1.000, -1.000]";"0.672";"0.713";"[0.697, 0.728]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"NaiveBayes";"MLP";"Precision";"0.0000";"0.0020";"-1.000";"[-1.000, -1.000]";"0.672";"0.516";"[0.501, 0.532]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"AdaBoost";"MLP";"Precision";"0.0000";"0.0021";"+0.874";"[+0.753, +0.937]";"0.672";"0.132";"[0.114, 0.147]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"ExtraTrees";"MLP";"Precision";"0.0000";"0.0022";"+0.994";"[+0.962, +1.000]";"0.672";"0.216";"[0.199, 0.231]";"0.087";"1";"100.0";"0";"(1/2) No comparison -> F1 win";
"RandomForest";"MLP";"Precision";"0.0000";"0.0012";"+1.000";"[+1.000, +1.000]";"0.672";"0.217";"[0.203, 0.233]";"0.087";"1";"100.0";"0";"(2) No comparison -> Recall win";
"GradientBoosting";"MLP";"Precision";"0.0000";"0.0013";"+0.992";"[+0.954, +0.999]";"0.672";"0.194";"[0.181, 0.208]";"0.087";"1";"100.0";"0";"(2) No comparison -> Recall win";
"SVM_Linear";"MLP";"Precision";"0.0000";"0.0014";"+0.970";"[+0.887, +1.000]";"0.672";"0.203";"[0.187, 0.217]";"0.087";"1";"100.0";"0";"(2) No comparison -> Recall win";
"DecisionTree";"ExtraTrees";"Precision";"0.0000";"0.0017";"-1.000";"[-1.000, -1.000]";"0.672";"0.367";"[0.348, 0.385]";"0.087";"1";"100.0";"0";"(2) No comparison -> Recall win";
"RandomForest";"AdaBoost";"Precision";"0.0000";"0.0028";"+0.672";"[+0.549, +0.780]";"0.672";"0.087";"[0.072, 0.101]";"0.087";"1";"37.4";"0";"(2) No direct comparison possible";
"KNN";"ExtraTrees";"Precision";"0.0000";"0.0025";"-0.789";"[-0.876, -0.666]";"0.672";"0.118";"[0.100, 0.136]";"0.087";"1";"98.6";"0";"(2) No direct comparison possible";
"RandomForest";"LogisticRegression";"Precision";"0.0000";"0.0050";"+0.407";"[+0.259, +0.550]";"0.672";"0.042";"[0.030, 0.055]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"AdaBoost";"ExtraTrees";"Precision";"0.0000";"0.0026";"-0.642";"[-0.757, -0.505]";"0.672";"0.086";"[0.072, 0.098]";"0.087";"0";"24.6";"0";"(1)/(2) Criteria for Precision win not met";
"RandomForest";"GradientBoosting";"Precision";"0.0005";"0.0063";"+0.230";"[+0.110, +0.356]";"0.672";"0.023";"[0.013, 0.035]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"RandomForest";"SVM_Linear";"Precision";"0.0243";"0.0125";"+0.136";"[-0.011, +0.281]";"0.672";"0.015";"[0.002, 0.028]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"GradientBoosting";"SVM_Linear";"Precision";"0.3841";"0.0250";"-0.093";"[-0.234, +0.026]";"0.672";"0.008";"[0.001, 0.021]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"GradientBoosting";"LogisticRegression";"Precision";"0.0018";"0.0071";"+0.195";"[+0.054, +0.324]";"0.672";"0.019";"[0.007, 0.030]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"GradientBoosting";"AdaBoost";"Precision";"0.0000";"0.0036";"+0.538";"[+0.405, +0.659]";"0.672";"0.063";"[0.050, 0.076]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"SVM_Linear";"LogisticRegression";"Precision";"0.0000";"0.0042";"+0.307";"[+0.200, +0.420]";"0.672";"0.027";"[0.020, 0.035]";"0.087";"0";"0.0";"0";"(1)/(2) Criteria for Precision win not met";
"SVM_Linear";"AdaBoost";"Precision";"0.0000";"0.0033";"+0.601";"[+0.457, +0.722]";"0.672";"0.072";"[0.058, 0.085]";"0.087";"0";"1.1";"0";"(1)/(2) Criteria for Precision win not met";
